period,population,source_url,tolerance,indicator,value
2024Q2,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,unemployment_rate,33.487
2024Q2,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,employment_rate,40.325
2024Q2,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",206479.06874785863,population,41295813.749571726
2024Q2,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",83261.66592350682,employed,16652333.184701364
2024Q3,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,participation_rate,60.237
2024Q3,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,unemployment_rate,32.098
2024Q3,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,employment_rate,40.903
2024Q3,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",207153.04825603828,population,41430609.651207656
2024Q3,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",84730.86719563424,employed,16946173.43912685
2024Q4,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,participation_rate,60.319
2024Q4,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,unemployment_rate,31.876
2024Q4,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,employment_rate,41.091
2024Q4,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",207802.6416236008,population,41560528.32472016
2024Q4,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",85389.20982375272,employed,17077841.964750543
2025Q1,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,participation_rate,60.001
2025Q1,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,unemployment_rate,32.891
2025Q1,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,employment_rate,40.266
2025Q1,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",208454.33451537217,population,41690866.903074436
2025Q1,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",83936.33326842726,employed,16787266.65368545
2025Q2,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,participation_rate,60.194
2025Q2,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,unemployment_rate,33.238
2025Q2,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,employment_rate,40.186
2025Q2,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",209108.07981169765,population,41821615.96233953
2025Q2,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",84032.51109242285,employed,16806502.21848457
2025Q3,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,participation_rate,59.745
2025Q3,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,unemployment_rate,31.95
2025Q3,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,employment_rate,40.657
2025Q3,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",209741.84002387352,population,41948368.004774705
2025Q3,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",85274.11572273009,employed,17054823.144546017
2025Q4,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,participation_rate,59.272
2025Q4,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,unemployment_rate,31.425
2025Q4,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,employment_rate,40.645
2025Q4,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",210342.11469656945,population,42068422.93931389
2025Q4,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",85494.54054989688,employed,17098908.109979376
2026Q1,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,participation_rate,58.999
2026Q1,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,unemployment_rate,32.689
2026Q1,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,employment_rate,39.713
2026Q1,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",210944.6185518826,population,42188923.710376516
2026Q1,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",83771.40931121567,employed,16754281.862243133
2026Q2,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,participation_rate,59.608
2026Q2,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,unemployment_rate,33.629
2026Q2,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",0.05,employment_rate,39.562
2026Q2,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",211549.31095031172,population,42309862.190062344
2026Q2,15-64,"Stats SA QLFS_Trends_2008-2026Q2.xlsx, Table 2",83693.12553189056,employed,16738625.106378112
