period,population,source_url,tolerance,indicator,value
2022Q4,15+,"INEC tabulados 2026_I_trimestre_Tabulados_Mercado_Laboral.xlsx, sheet '1. Poblaciones'",0.05,participation_rate,65.732
2022Q4,15+,"INEC tabulados 2026_I_trimestre_Tabulados_Mercado_Laboral.xlsx, sheet '1. Poblaciones'",0.05,unemployment_rate,3.799
2022Q4,15+,"INEC tabulados 2026_I_trimestre_Tabulados_Mercado_Laboral.xlsx, sheet '1. Poblaciones'",0.05,employment_rate,63.236
2022Q4,15+,"INEC tabulados 2026_I_trimestre_Tabulados_Mercado_Laboral.xlsx, sheet '1. Poblaciones'",64631.4451307075,population,12926289.0261415
2022Q4,15+,"INEC tabulados 2026_I_trimestre_Tabulados_Mercado_Laboral.xlsx, sheet '1. Poblaciones'",40870.04737192957,employed,8174009.474385914
2023Q1,15+,"INEC tabulados 2026_I_trimestre_Tabulados_Mercado_Laboral.xlsx, sheet '1. Poblaciones'",0.05,participation_rate,65.535
2023Q1,15+,"INEC tabulados 2026_I_trimestre_Tabulados_Mercado_Laboral.xlsx, sheet '1. Poblaciones'",0.05,unemployment_rate,3.822
2023Q1,15+,"INEC tabulados 2026_I_trimestre_Tabulados_Mercado_Laboral.xlsx, sheet '1. Poblaciones'",0.05,employment_rate,63.03
2023Q1,15+,"INEC tabulados 2026_I_trimestre_Tabulados_Mercado_Laboral.xlsx, sheet '1. Poblaciones'",64858.830012212195,population,12971766.002442438
2023Q1,15+,"INEC tabulados 2026_I_trimestre_Tabulados_Mercado_Laboral.xlsx, sheet '1. Poblaciones'",40880.45765692517,employed,8176091.531385034
2023Q2,15+,"INEC tabulados 2026_I_trimestre_Tabulados_Mercado_Laboral.xlsx, sheet '1. Poblaciones'",0.05,participation_rate,64.435
2023Q2,15+,"INEC tabulados 2026_I_trimestre_Tabulados_Mercado_Laboral.xlsx, sheet '1. Poblaciones'",0.05,unemployment_rate,3.826
2023Q2,15+,"INEC tabulados 2026_I_trimestre_Tabulados_Mercado_Laboral.xlsx, sheet '1. Poblaciones'",0.05,employment_rate,61.969
2023Q2,15+,"INEC tabulados 2026_I_trimestre_Tabulados_Mercado_Laboral.xlsx, sheet '1. Poblaciones'",65087.395002524994,population,13017479.000504998
2023Q2,15+,"INEC tabulados 2026_I_trimestre_Tabulados_Mercado_Laboral.xlsx, sheet '1. Poblaciones'",40334.27449074875,employed,8066854.89814975
