period,population,source_url,tolerance,indicator,value
2024Q1,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",0.05,participation_rate,63.654
2024Q1,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",0.05,unemployment_rate,11.868
2024Q1,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",0.05,employment_rate,56.1
2024Q1,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",199532.9533333321,population,39906590.66666642
2024Q1,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",111937.6839710575,employed,22387536.7942115
2024Q2,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",0.05,participation_rate,63.926
2024Q2,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",0.05,unemployment_rate,10.407
2024Q2,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",0.05,employment_rate,57.273
2024Q2,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",200257.54999998925,population,40051509.99999785
2024Q2,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",114694.47503373875,employed,22938895.00674775
2024Q3,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",0.05,participation_rate,64.05
2024Q3,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",0.05,unemployment_rate,9.573
2024Q3,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",0.05,employment_rate,57.919
2024Q3,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",200954.87833333292,population,40190975.66666658
2024Q3,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",116390.28373102842,employed,23278056.746205684
2024Q4,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",0.05,participation_rate,64.004
2024Q4,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",0.05,unemployment_rate,8.811
2024Q4,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",0.05,employment_rate,58.365
2024Q4,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",201659.7533333333,population,40331950.66666666
2024Q4,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",117698.41459613164,employed,23539682.919226326
2025Q1,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",0.05,participation_rate,64.506
2025Q1,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",0.05,unemployment_rate,10.523
2025Q1,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",0.05,employment_rate,57.718
2025Q1,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",202349.48499999286,population,40469896.99999857
2025Q1,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",116791.17509555095,employed,23358235.019110188
2025Q2,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",0.05,participation_rate,63.861
2025Q2,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",0.05,unemployment_rate,8.791
2025Q2,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",0.05,employment_rate,58.247
2025Q2,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",203031.87166666493,population,40606374.333332986
2025Q2,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",118259.7721645618,employed,23651954.43291236
2025Q3,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",0.05,participation_rate,64.146
2025Q3,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",0.05,unemployment_rate,8.539
2025Q3,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",0.05,employment_rate,58.669
2025Q3,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",203703.94166665833,population,40740788.33333167
2025Q3,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",119511.21625081154,employed,23902243.250162307
2025Q4,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",0.05,participation_rate,64.684
2025Q4,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",0.05,unemployment_rate,7.735
2025Q4,15+,"DANE anexo GEIH anex-GEIH-jul2026.xlsx, sheet 'Total nacional Trim'",0.05,employment_rate,59.681
