cno2017,isco08,note
71332,3100,
71333,3100,
72111,2100,
72112,3100,
72113,7100,
72114,9300,
72122,8300,
72123,8300,
72131,2100,
72132,3100,
72133,7400,
72201,2100,
72202,3100,
72203,7100,
72311,2100,
72312,3100,
72313,7100,
72314,9300,
72322,3100,
72323,8300,
72331,2100,
72332,3100,
72333,7400,
80111,2100,
80112,7300,
80113,7500,
80123,8100,
80131,2100,
80132,2100,
80133,8100,
80201,2100,
80202,3100,
80311,2100,
80314,9300,
80322,3100,
80323,8100,
80324,9300,
80331,2100,
80332,3100,
80333,8100,
81131,2500,
81132,3500,
81201,2500,
81202,3500,
81331,2500,
81332,3500,
81333,4100,
82111,2100,
82112,7400,
82123,7500,
82132,3100,
82133,7200,
82202,3100,
82203,7200,
82312,7400,
82313,7200,
82314,9300,
82323,7500,
82332,3100,
82333,7200,
90111,2100,
90112,3100,
90113,7200,
90201,2100,
90202,3100,
90203,7200,
90311,2100,
90312,3100,
90313,7200,
90314,9300,
90323,7200,
90331,2100,
90332,3100,
90333,7200,
91111,2100,
91131,2100,
91201,2100,
91202,3100,
91311,2100,
91312,3100,
91313,3100,
91331,2100,
92111,2100,
92112,3500,
92113,7200,
92131,2500,
92132,3500,
92201,2100,
92202,3100,
92203,7200,
92311,2100,
92312,3500,
92313,7200,
92314,9300,
92323,7200,
92331,2500,
92332,3500,
92333,7200,
10339,4100,info parcial
20339,4200,info parcial
30119,5200,info parcial
30139,5200,info parcial
30319,5200,info parcial
30339,5200,info parcial
31319,5200,info parcial
99997,9900,info parcial
99999,0000,info parcial
