term,coef,se,n_cells,n_clusters,subset
post_x_treat,0.2001782352829767,0.05185863431988175,2940,67,all
post_x_treat_x_young,-0.05205131482033156,0.049227429083475396,2940,67,all
post_x_treat,0.14812692046264522,0.04794509280061266,952,25,young
post_x_treat,0.20017823528297668,0.05184981107280467,1988,67,older
post_x_treat,0.18832974569656305,0.04601691715344644,2940,67,country_IND
