period,previous,variable,change,detail,share,country
2026Q1,2025Q4,CAT_INAC,missing_share_jump,0.00 -> 1.00,,arg
2026Q1,2025Q4,CAT_INAC,codes_removed,"0,1,2,3,4,5,6,7",1.0,arg
