period,previous,variable,change,detail,share,country
2023Q2,2023Q1,p3r,missing_share_jump,0.55 -> 1.00,,mex
2023Q2,2023Q1,p3r,codes_removed,"1,2,3,9",1.0,mex
2023Q2,2023Q1,p3r_anio,kind_changed,continuous -> codes,,mex
2023Q2,2023Q1,p3r_mes,missing_share_jump,0.90 -> 1.00,,mex
2023Q2,2023Q1,p3r_mes,codes_removed,"01,02,03,04,05,06,07,08,09,10,11,12,99",1.0,mex
2024Q1,2023Q4,p3j,missing_share_jump,1.00 -> 0.68,,mex
2024Q1,2023Q4,p3j,codes_added,"1,2,9",1.0,mex
2024Q1,2023Q4,p3r,missing_share_jump,1.00 -> 0.54,,mex
2024Q1,2023Q4,p3r,codes_added,"1,2,3,9",1.0,mex
2024Q1,2023Q4,p3r_anio,kind_changed,codes -> continuous,,mex
2024Q1,2023Q4,p3r_mes,missing_share_jump,1.00 -> 0.90,,mex
2024Q1,2023Q4,p3r_mes,codes_added,"1,10,11,12,2,3,4,5,6,7,8,9,99",1.0,mex
2024Q2,2024Q1,p3j,missing_share_jump,0.68 -> 1.00,,mex
2024Q2,2024Q1,p3j,codes_removed,"1,2,9",1.0,mex
2024Q2,2024Q1,p3r,missing_share_jump,0.54 -> 1.00,,mex
2024Q2,2024Q1,p3r,codes_removed,"1,2,3,9",1.0,mex
2024Q2,2024Q1,p3r_anio,kind_changed,continuous -> codes,,mex
2024Q2,2024Q1,p3r_mes,missing_share_jump,0.90 -> 1.00,,mex
2024Q2,2024Q1,p3r_mes,codes_removed,"1,10,11,12,2,3,4,5,6,7,8,9,99",1.0,mex
2025Q1,2024Q4,p3j,missing_share_jump,1.00 -> 0.68,,mex
2025Q1,2024Q4,p3j,codes_added,"1,2,9",1.0,mex
2025Q1,2024Q4,p3r,missing_share_jump,1.00 -> 0.55,,mex
2025Q1,2024Q4,p3r,codes_added,"1,2,3,9",1.0,mex
2025Q1,2024Q4,p3r_anio,kind_changed,codes -> continuous,,mex
2025Q1,2024Q4,p3r_mes,codes_added,"1,10,11,12,2,3,4,5,6,7,8,9,99",1.0,mex
2025Q2,2025Q1,p3j,missing_share_jump,0.68 -> 1.00,,mex
2025Q2,2025Q1,p3j,codes_removed,"1,2,9",1.0,mex
2025Q2,2025Q1,p3r,missing_share_jump,0.55 -> 1.00,,mex
2025Q2,2025Q1,p3r,codes_removed,"1,2,3,9",1.0,mex
2025Q2,2025Q1,p3r_anio,kind_changed,continuous -> codes,,mex
