countrycode,period,tercile,emp,emp_ref,index
BRA,2023Q2,1.0,28514610.935660213,28681621.70863904,99.41770805474182
BRA,2023Q2,2.0,31688954.568894904,31008571.1438157,102.19417857702514
BRA,2023Q2,3.0,35921736.30269073,35604012.95302521,100.8923807270959
BRA,2023Q3,1.0,28634289.158496648,28681621.70863904,99.83497254575344
BRA,2023Q3,2.0,31981088.33365679,31008571.1438157,103.13628507850498
BRA,2023Q3,3.0,36480597.65141315,35604012.95302521,102.46203903909506
BRA,2023Q4,1.0,29042059.90674535,28681621.70863904,101.25668695364512
BRA,2023Q4,2.0,32111546.86586872,31008571.1438157,103.55700272978555
BRA,2023Q4,3.0,36984644.308945835,35604012.95302521,103.87774085393742
BRA,2024Q1,1.0,28701543.69243887,28681621.70863904,100.06945905640276
BRA,2024Q1,2.0,31763665.09786753,31008571.1438157,102.43511366760421
BRA,2024Q1,3.0,36915272.32619064,35604012.95302521,103.68289769722158
BRA,2024Q2,1.0,29200232.619454235,28681621.70863904,101.80816453157175
BRA,2024Q2,2.0,32310658.775991548,31008571.1438157,104.19912167554207
BRA,2024Q2,3.0,37449680.024185136,35604012.95302521,105.18387372118711
BRA,2024Q3,1.0,29477143.279089898,28681621.70863904,102.77362827852667
BRA,2024Q3,2.0,32899288.958660383,31008571.1438157,106.09740386319531
BRA,2024Q3,3.0,37755565.18825646,35604012.95302521,106.04300486596817
BRA,2024Q4,1.0,29848317.635950375,28681621.70863904,104.06774742085075
BRA,2024Q4,2.0,32773183.397872154,31008571.1438157,105.69072417388179
BRA,2024Q4,3.0,38292421.38526772,35604012.95302521,107.55085792095828
BRA,2025Q1,1.0,28819250.235931832,28681621.70863904,100.47984918248655
BRA,2025Q1,2.0,32394065.63211276,31008571.1438157,104.46810168024585
BRA,2025Q1,3.0,38368478.766546056,35604012.95302521,107.76447817039106
BRA,2025Q2,1.0,28911468.747448586,28681621.70863904,100.80137392907709
BRA,2025Q2,2.0,33458666.11575129,31008571.1438157,107.90134753572556
BRA,2025Q2,3.0,38998808.69534537,35604012.95302521,109.53486829363631
BRA,2025Q3,1.0,29303491.949866295,28681621.70863904,102.16818368063178
BRA,2025Q3,2.0,33455314.03641896,31008571.1438157,107.89053736547687
BRA,2025Q3,3.0,38742145.214892164,35604012.95302521,108.81398472134956
BRA,2025Q4,1.0,29262716.406875476,28681621.70863904,102.02601758066353
BRA,2025Q4,2.0,33297953.754285645,31008571.1438157,107.38306386273634
BRA,2025Q4,3.0,39504922.383677006,35604012.95302521,110.95637572033954
BRA,2026Q1,1.0,28883854.070043392,28681621.70863904,100.70509388715436
BRA,2026Q1,2.0,33112388.3847631,31008571.1438157,106.78463135624673
BRA,2026Q1,3.0,39050897.75699209,35604012.95302521,109.68116939097452
BRA,2026Q2,1.0,29066684.12158617,28681621.70863904,101.34254058873925
BRA,2026Q2,2.0,33826948.82207326,31008571.1438157,109.08902788582586
BRA,2026Q2,3.0,39198085.99000453,35604012.95302521,110.09457288345902
COL,2022Q1,1.0,6782809.639751904,6983185.885011305,97.13058984024056
COL,2022Q1,2.0,6776964.117031458,6981847.253597064,97.06548812765776
COL,2022Q1,3.0,7747267.073286455,8037014.196176491,96.39484122066277
COL,2022Q2,1.0,6908896.0173191605,6983185.885011305,98.93616081663242
COL,2022Q2,2.0,6936366.478378789,6981847.253597064,99.34858535905603
COL,2022Q2,3.0,8186704.078891519,8037014.196176491,101.86250613799142
COL,2022Q3,1.0,6979130.188951287,6983185.885011305,99.9419219805
COL,2022Q3,2.0,7146368.500187079,6981847.253597064,102.3564142928686
COL,2022Q3,3.0,8052965.682972251,8037014.196176491,100.19847528455716
COL,2022Q4,1.0,7261907.694022869,6983185.885011305,103.99132736262702
COL,2022Q4,2.0,7067689.918790929,6981847.253597064,101.22951222041759
COL,2022Q4,3.0,8161119.949555738,8037014.196176491,101.54417735678865
COL,2023Q1,1.0,7294935.502028266,6983185.885011305,104.46428925350676
COL,2023Q1,2.0,6906077.126037295,6981847.253597064,98.91475529601809
COL,2023Q1,3.0,7944177.649857931,8037014.196176491,98.84488761556841
COL,2023Q2,1.0,7312355.650570334,6983185.885011305,104.71374772173198
COL,2023Q2,2.0,7131399.867455466,6981847.253597064,102.14202070635893
COL,2023Q2,3.0,8328305.222668013,8037014.196176491,103.62436869441017
COL,2023Q3,1.0,7427924.906061857,6983185.885011305,106.3687123380911
COL,2023Q3,2.0,7223572.566933082,6981847.253597064,103.46219710280086
COL,2023Q3,3.0,8479029.266250579,8037014.196176491,105.49974230833598
COL,2023Q4,1.0,7250134.200888075,6983185.885011305,103.82272962903289
COL,2023Q4,2.0,7465509.059594259,6981847.253597064,106.92741889688308
COL,2023Q4,3.0,8304957.489298077,8037014.196176491,103.33386611720877
COL,2024Q1,1.0,7194810.216354279,6983185.885011305,103.0304840058347
COL,2024Q1,2.0,7178070.365484863,6981847.253597064,102.81047557702875
COL,2024Q1,3.0,7990182.071520002,8037014.196176491,99.41729448880695
COL,2024Q2,1.0,7307694.167973757,6983185.885011305,104.6469947715265
COL,2024Q2,2.0,7245124.01109341,6981847.253597064,103.77087535624194
COL,2024Q2,3.0,8358526.131075705,8037014.196176491,104.00039028240326
COL,2024Q3,1.0,7394189.593341733,6983185.885011305,105.88561890086022
COL,2024Q3,2.0,7301168.508884324,6981847.253597064,104.57359268527028
COL,2024Q3,3.0,8563117.255413339,8037014.196176491,106.54600136810926
COL,2024Q4,1.0,7483109.797984418,6983185.885011305,107.15896613959754
COL,2024Q4,2.0,7582868.366281232,6981847.253597064,108.60833946738838
COL,2024Q4,3.0,8454289.949047197,8037014.196176491,105.19192504436809
COL,2025Q1,1.0,7669992.557134421,6983185.885011305,109.83514807471009
COL,2025Q1,2.0,7403747.975513406,6981847.253597064,106.04282371973946
COL,2025Q1,3.0,8258087.245182888,8037014.196176491,102.75068630725536
COL,2025Q2,1.0,7617831.164650529,6983185.885011305,109.08819112206972
COL,2025Q2,2.0,7481829.206950637,6981847.253597064,107.1611700341336
COL,2025Q2,3.0,8530222.496889023,8037014.196176491,106.13671058273319
COL,2025Q3,1.0,7553368.246173663,6983185.885011305,108.16507494646815
COL,2025Q3,2.0,7724217.357353239,6981847.253597064,110.63286085747156
COL,2025Q3,3.0,8608689.03961287,8037014.196176491,107.11302517928047
COL,2025Q4,1.0,7792234.722737862,6983185.885011305,111.58566950742494
COL,2025Q4,2.0,7912160.830666106,6981847.253597064,113.32474835495351
COL,2025Q4,3.0,8677988.04388353,8037014.196176491,107.97527330500392
COL,2026Q1,1.0,7446243.313860777,6983185.885011305,106.6310339789662
COL,2026Q1,2.0,7606517.342190959,6981847.253597064,108.94706036818641
COL,2026Q1,3.0,8819513.778108107,8037014.196176491,109.73619758322538
COL,2026Q2,1.0,7586144.387935815,6983185.885011305,108.6344329487018
COL,2026Q2,2.0,7861028.103443171,6981847.253597064,112.59238161352143
COL,2026Q2,3.0,8973217.880192801,8037014.196176491,111.64865037144887
ECU,2021Q3,1.0,3060206.9705808754,3192929.959840024,95.84322265353423
ECU,2021Q3,2.0,3065603.143368208,3101383.2443509414,98.84631797608678
ECU,2021Q3,3.0,1858244.3225652329,1842908.7701440926,100.8321384470888
ECU,2021Q4,1.0,3106030.5373538653,3192929.959840024,97.27837993381752
ECU,2021Q4,2.0,3149926.855912637,3101383.2443509414,101.56522453811911
ECU,2021Q4,3.0,1827944.566961398,1842908.7701440926,99.18801172227725
ECU,2022Q1,1.0,3079322.1501145726,3192929.959840024,96.441894712556
ECU,2022Q1,2.0,3155427.0093887337,3101383.2443509414,101.74256971099044
ECU,2022Q1,3.0,1748501.6711242702,1842908.7701440926,94.8772776737917
ECU,2022Q2,1.0,3234923.5483726333,3192929.959840024,101.31520544016924
ECU,2022Q2,2.0,3067293.902937855,3101383.2443509414,98.90083428176189
ECU,2022Q2,3.0,1856349.4329680034,1842908.7701440926,100.72931786107132
ECU,2022Q3,1.0,3252514.152628137,3192929.959840024,101.86612902686717
ECU,2022Q3,2.0,3072692.133697535,3101383.2443509414,99.07489309147245
ECU,2022Q3,3.0,1934268.3551441168,1842908.7701440926,104.95735798104
ECU,2022Q4,1.0,3204959.988244752,3192929.959840024,100.37677082040756
ECU,2022Q4,2.0,3110119.931379642,3101383.2443509414,100.28170291577521
ECU,2022Q4,3.0,1832515.6213399798,1842908.7701440926,99.43604648409698
ECU,2023Q1,1.0,3185181.9808281977,3192929.959840024,99.75733952484775
ECU,2023Q1,2.0,3178097.5781627605,3101383.2443509414,102.47355221098688
ECU,2023Q1,3.0,1791945.2250344162,1842908.7701440926,97.2346137836388
ECU,2023Q2,1.0,3105280.1245642616,3192929.959840024,97.25487760839721
ECU,2023Q2,2.0,3135572.761171399,3101383.2443509414,101.10239574173018
ECU,2023Q2,3.0,1788851.383499914,1842908.7701440926,97.0667356127481
ECU,2023Q3,1.0,3167175.2755496427,3192929.959840024,99.19338398855228
ECU,2023Q3,2.0,3230196.628654061,3101383.2443509414,104.15341717402222
ECU,2023Q3,3.0,1831067.914328668,1842908.7701440926,99.35749094001551
ECU,2023Q4,1.0,3139295.892629577,3192929.959840024,98.3202241237658
ECU,2023Q4,2.0,3296137.16948389,3101383.2443509414,106.27958268258803
ECU,2023Q4,3.0,1769888.6155525285,1842908.7701440926,96.03777703082639
ECU,2024Q1,1.0,3134009.8314413056,3192929.959840024,98.15466893606178
ECU,2024Q1,2.0,3231077.961280304,3101383.2443509414,104.18183457867057
ECU,2024Q1,3.0,1753122.1372365314,1842908.7701440926,95.12799361736495
ECU,2024Q2,1.0,3174540.1970454236,3192929.959840024,99.42404741018741
ECU,2024Q2,2.0,3224668.351591701,3101383.2443509414,103.97516519331556
ECU,2024Q2,3.0,1830172.3909219883,1842908.7701440926,99.30889800795138
ECU,2024Q3,1.0,3240385.277400202,3192929.959840024,101.48626240340568
ECU,2024Q3,2.0,3276470.3299359865,3101383.2443509414,105.64545145795702
ECU,2024Q3,3.0,1779834.7653108188,1842908.7701440926,96.57747546405446
ECU,2024Q4,1.0,3248428.555356829,3192929.959840024,101.73817140416027
ECU,2024Q4,2.0,3216264.7750635757,3101383.2443509414,103.70420298497088
ECU,2024Q4,3.0,1737713.8192976515,1842908.7701440926,94.2919067644235
ECU,2025Q1,1.0,3162776.882123391,3192929.959840024,99.05562984168486
ECU,2025Q1,2.0,3188459.327191117,3101383.2443509414,102.80765310120192
ECU,2025Q1,3.0,1800079.4415570754,1842908.7701440926,97.67599301273776
ECU,2025Q2,1.0,3147401.023955091,3192929.959840024,98.5740703223188
ECU,2025Q2,2.0,3327808.5749892252,3101383.2443509414,107.30078525608563
ECU,2025Q2,3.0,1823733.3250977653,1842908.7701440926,98.95950112360538
ECU,2025Q3,1.0,3175952.24607266,3192929.959840024,99.46827165077512
ECU,2025Q3,2.0,3404401.5883070026,3101383.2443509414,109.77042564823289
ECU,2025Q3,3.0,1836625.65134771,1842908.7701440926,99.65906512041336
ECU,2025Q4,1.0,3217760.4894157923,3192929.959840024,100.77767222858256
ECU,2025Q4,2.0,3369760.065542995,3101383.2443509414,108.65345557279618
ECU,2025Q4,3.0,1754167.5199735828,1842908.7701440926,95.18471822326988
ECU,2026Q1,1.0,3210106.1291394844,3192929.959840024,100.53794381697996
ECU,2026Q1,2.0,3280414.1164831254,3101383.2443509414,105.77261363806882
ECU,2026Q1,3.0,1806901.166662821,1842908.7701440926,98.04615377252472
GEO,2021Q1,1.0,200507.27338039962,266254.90614290803,75.30650844524929
GEO,2021Q1,2.0,482617.2174291674,533583.2978686941,90.44833662464664
GEO,2021Q1,3.0,436159.5573740393,472873.3643463099,92.23601713684529
GEO,2021Q2,1.0,218326.41283683857,266254.90614290803,81.99901966112706
GEO,2021Q2,2.0,517072.62599467556,533583.2978686941,96.90569927132886
GEO,2021Q2,3.0,468485.75988278096,472873.3643463099,99.07213964787502
GEO,2021Q3,1.0,255672.6518688107,266254.90614290803,96.02551764119701
GEO,2021Q3,2.0,530070.621439708,533583.2978686941,99.34168171248673
GEO,2021Q3,3.0,486657.83175658935,472873.3643463099,102.91504416395598
GEO,2021Q4,1.0,233438.2092198458,266254.90614290803,87.67470714494613
GEO,2021Q4,2.0,524665.4052444999,533583.2978686941,98.32867845380184
GEO,2021Q4,3.0,474591.3322519374,472873.3643463099,100.36330401227025
GEO,2022Q1,1.0,228062.7145313853,266254.90614290803,85.65577920617783
GEO,2022Q1,2.0,506105.88639268064,533583.2978686941,94.85039888134295
GEO,2022Q1,3.0,457407.7460591562,472873.3643463099,96.72943763526773
GEO,2022Q2,1.0,257952.770253795,266254.90614290803,96.88188435308794
GEO,2022Q2,2.0,530493.1086901532,533583.2978686941,99.42086096193714
GEO,2022Q2,3.0,470058.46253397065,472873.3643463099,99.40472396531986
GEO,2022Q3,1.0,298560.6170460114,266254.90614290803,112.13337675954928
GEO,2022Q3,2.0,560975.5512878177,533583.2978686941,105.13364146301753
GEO,2022Q3,3.0,486446.057420598,472873.3643463099,102.87025958695108
GEO,2022Q4,1.0,280443.5227404404,266254.90614290803,105.32895968118493
GEO,2022Q4,2.0,536758.6451041247,533583.2978686941,100.59509869370237
GEO,2022Q4,3.0,477581.1913715147,472873.3643463099,100.9955788124613
GEO,2023Q1,1.0,273528.8643469932,266254.90614290803,102.73195274012379
GEO,2023Q1,2.0,521901.5375678878,533583.2978686941,97.81069603425239
GEO,2023Q1,3.0,466960.73404252745,472873.3643463099,98.74963769381344
GEO,2023Q2,1.0,291507.07093581656,266254.90614290803,109.48420637903845
GEO,2023Q2,2.0,534045.464144,533583.2978686941,100.08661558132572
GEO,2023Q2,3.0,492817.2016275762,472873.3643463099,104.2175852532604
GEO,2023Q3,1.0,312577.8108213055,266254.90614290803,117.39795346852102
GEO,2023Q3,2.0,532720.0024697944,533583.2978686941,99.83820794197496
GEO,2023Q3,3.0,509656.22100004833,472873.3643463099,107.778585013894
GEO,2023Q4,1.0,299243.7813765085,266254.90614290803,112.38995957351268
GEO,2023Q4,2.0,534450.3312169139,533583.2978686941,100.16249259519236
GEO,2023Q4,3.0,525377.0926603142,472873.3643463099,111.10312660273947
GEO,2024Q1,1.0,329878.32778308133,266254.90614290803,123.89568048223099
GEO,2024Q1,2.0,528700.3513965566,533583.2978686941,99.08487643979083
GEO,2024Q1,3.0,531323.6935374745,472873.3643463099,112.36067277165527
GEO,2024Q2,1.0,315855.73045983876,266254.90614290803,118.62907430907894
GEO,2024Q2,2.0,528976.9274958097,533583.2978686941,99.13671016478895
GEO,2024Q2,3.0,533629.7094834192,472873.3643463099,112.84833313060413
GEO,2024Q3,1.0,329051.41502284573,266254.90614290803,123.58510864255499
GEO,2024Q3,2.0,526493.1007471044,533583.2978686941,98.67121082127004
GEO,2024Q3,3.0,542944.2190455843,472873.3643463099,114.81810141625103
GEO,2024Q4,1.0,303532.7182969068,266254.90614290803,114.0007982177765
GEO,2024Q4,2.0,543442.0489602519,533583.2978686941,101.8476498666538
GEO,2024Q4,3.0,554437.2829816828,472873.3643463099,117.2485753660761
GEO,2025Q1,1.0,306518.28587395285,266254.90614290803,115.1221174904601
GEO,2025Q1,2.0,542278.6503883004,533583.2978686941,101.62961482384071
GEO,2025Q1,3.0,534253.8967379923,472873.3643463099,112.98033194923836
GEO,2025Q2,1.0,310810.64049968915,266254.90614290803,116.7342397562682
GEO,2025Q2,2.0,535010.0773933161,533583.2978686941,100.26739583684892
GEO,2025Q2,3.0,507623.7827851271,472873.3643463099,107.34877898797608
GEO,2025Q3,1.0,324591.82102334144,266254.90614290803,121.91017462383286
GEO,2025Q3,2.0,534480.6818818343,533583.2978686941,100.1681806789539
GEO,2025Q3,3.0,527217.5639264005,472873.3643463099,111.49233678137377
GEO,2025Q4,1.0,301413.85642944224,266254.90614290803,113.20499621804647
GEO,2025Q4,2.0,543994.9056621705,533583.2978686941,101.95126193699537
GEO,2025Q4,3.0,545729.4997414997,472873.3643463099,115.4071133813816
MEX,2021Q1,1.0,17155818.0,18489294.5,92.78784542049455
MEX,2021Q1,2.0,13690933.0,14665211.75,93.35653131636506
MEX,2021Q1,3.0,17037071.0,18774315.0,90.74669834824866
MEX,2021Q2,1.0,17782912.0,18489294.5,96.17950538891573
MEX,2021Q2,2.0,14146257.0,14665211.75,96.46132112616785
MEX,2021Q2,3.0,18125162.0,18774315.0,96.54233456719992
MEX,2021Q3,1.0,18231067.0,18489294.5,98.60336747840758
MEX,2021Q3,2.0,14265902.0,14665211.75,97.27716342043271
MEX,2021Q3,3.0,18151626.0,18774315.0,96.68329310550078
MEX,2021Q4,1.0,18366093.0,18489294.5,99.33366035139956
MEX,2021Q4,2.0,14450310.0,14665211.75,98.5346154309705
MEX,2021Q4,3.0,18415204.0,18774315.0,98.08722182407188
MEX,2022Q1,1.0,18131615.0,18489294.5,98.06547783637716
MEX,2022Q1,2.0,14326624.0,14665211.75,97.69121813055308
MEX,2022Q1,3.0,18224343.0,18774315.0,97.07061482669275
MEX,2022Q2,1.0,18537927.0,18489294.5,100.26303058778149
MEX,2022Q2,2.0,14657300.0,14665211.75,99.94605089831042
MEX,2022Q2,3.0,18791249.0,18774315.0,100.09019769829152
MEX,2022Q3,1.0,18559320.0,18489294.5,100.37873538116882
MEX,2022Q3,2.0,14637560.0,14665211.75,99.81144663662971
MEX,2022Q3,3.0,18948606.0,18774315.0,100.92834811816037
MEX,2022Q4,1.0,18728316.0,18489294.5,101.29275619467255
MEX,2022Q4,2.0,15039363.0,14665211.75,102.55128433450679
MEX,2022Q4,3.0,19133062.0,18774315.0,101.91083935685536
MEX,2023Q1,1.0,18855386.0,18489294.5,101.98001876166774
MEX,2023Q1,2.0,14956918.0,14665211.75,101.98910356681348
MEX,2023Q1,3.0,19155871.0,18774315.0,102.03232980803827
MEX,2023Q2,1.0,18647150.0,18489294.5,100.8537670271843
MEX,2023Q2,2.0,15064941.0,14665211.75,102.72569709059945
MEX,2023Q2,3.0,19345393.0,18774315.0,103.04180472097117
MEX,2023Q3,1.0,18948157.0,18489294.5,102.48177398007263
MEX,2023Q3,2.0,15148374.0,14665211.75,103.29461489023505
MEX,2023Q3,3.0,19504275.0,18774315.0,103.88807794052673
MEX,2023Q4,1.0,18883449.0,18489294.5,102.13179848479346
MEX,2023Q4,2.0,15161656.0,14665211.75,103.38518296539428
MEX,2023Q4,3.0,19711930.0,18774315.0,104.99413693655401
MEX,2024Q1,1.0,18564370.0,18489294.5,100.40604848389428
MEX,2024Q1,2.0,15165087.0,14665211.75,103.40857846801974
MEX,2024Q1,3.0,19826116.0,18774315.0,105.60234021853793
MEX,2024Q2,1.0,18722663.0,18489294.5,101.26218174522559
MEX,2024Q2,2.0,15046328.0,14665211.75,102.59877768215655
MEX,2024Q2,3.0,19860727.0,18774315.0,105.78669314965686
MEX,2024Q3,1.0,18504586.0,18489294.5,100.08270461590625
MEX,2024Q3,2.0,15635355.0,14665211.75,106.61526929537857
MEX,2024Q3,3.0,19747408.0,18774315.0,105.1831078790358
MEX,2024Q4,1.0,18570007.0,18489294.5,100.43653639677815
MEX,2024Q4,2.0,15298557.0,14665211.75,104.31869147746878
MEX,2024Q4,3.0,19974962.0,18774315.0,106.39515742651596
MEX,2025Q1,1.0,18400296.0,18489294.5,99.5186484806113
MEX,2025Q1,2.0,15102027.0,14665211.75,102.9785812673315
MEX,2025Q1,3.0,19904163.0,18774315.0,106.01805179043816
MEX,2025Q2,1.0,18482515.0,18489294.5,99.96333283565795
MEX,2025Q2,2.0,15273268.0,14665211.75,104.14624937140782
MEX,2025Q2,3.0,20134189.0,18774315.0,107.24326826304981
MEX,2025Q3,1.0,18596775.0,18489294.5,100.58131206682873
MEX,2025Q3,2.0,15314408.0,14665211.75,104.42677719944957
MEX,2025Q3,3.0,20059215.0,18774315.0,106.84392479832154
MEX,2025Q4,1.0,18647473.0,18489294.5,100.85551398405168
MEX,2025Q4,2.0,15418021.0,14665211.75,105.13329955839198
MEX,2025Q4,3.0,20212443.0,18774315.0,107.66008240513702
MEX,2026Q1,1.0,18626174.0,18489294.5,100.74031759297252
MEX,2026Q1,2.0,15281319.0,14665211.75,104.20114799910748
MEX,2026Q1,3.0,20102651.0,18774315.0,107.07528343910283
MEX,2026Q2,1.0,18825810.0,18489294.5,101.82005592479474
MEX,2026Q2,2.0,15509058.0,14665211.75,105.75406795609344
MEX,2026Q2,3.0,19992126.0,18774315.0,106.48658020279302
PER,2022Q1,1.0,5820086.309893855,5866415.074404895,99.21027128282871
PER,2022Q1,2.0,7092275.769136542,7153769.432160792,99.14040194323574
PER,2022Q1,3.0,3173988.252167641,3326500.2800187403,95.41524079323871
PER,2022Q2,1.0,5986728.519445218,5866415.074404895,102.05088531094994
PER,2022Q2,2.0,7205288.369765404,7153769.432160792,100.72016491575756
PER,2022Q2,3.0,3284114.223020809,3326500.2800187403,98.72580630001652
PER,2022Q3,1.0,5858271.473147534,5866415.074404895,99.8611826617436
PER,2022Q3,2.0,7212956.408619999,7153769.432160792,100.82735370521061
PER,2022Q3,3.0,3309906.8749602307,3326500.2800187403,99.5011752995128
PER,2022Q4,1.0,5800573.995132975,5866415.074404895,98.87766074447777
PER,2022Q4,2.0,7104557.181121224,7153769.432160792,99.31207943579608
PER,2022Q4,3.0,3537991.7699262807,3326500.2800187403,106.35777760723198
PER,2023Q1,1.0,5327352.6752543785,5866415.074404895,90.81104230925561
PER,2023Q1,2.0,7190592.276009398,7153769.432160792,100.51473344504316
