term,coef,se,z,p,odds_ratio,countrycode
const,0.8147132982542458,0.017513065420863904,46.5203137586439,0.0,2.2585280555813383,ZAF
interview_2,0.07936461492836991,0.007090255076366398,11.193478101078778,4.3887354387447715e-29,1.0825989818667423,ZAF
interview_3,-0.09159392413944101,0.0076463345589913925,-11.978801533309172,4.589097931039332e-33,0.9124756086407696,ZAF
agegrp_15-21,-0.05519636695256742,0.010501530924797648,-5.256030510963903,1.4719788026602614e-07,0.9462993077963597,ZAF
agegrp_22-25,-0.1416986992761397,0.01181727396779899,-11.990811050184327,3.969988392453403e-33,0.8678827107847367,ZAF
agegrp_26-29,-0.09549558227310072,0.01180743302834714,-8.087751337978043,6.077632488129881e-16,0.9089223770156362,ZAF
agegrp_40-49,0.15259416772058917,0.009896597469564,15.41885159923674,1.2225910861983507e-53,1.164852148401717,ZAF
agegrp_50-64,0.3158575244572402,0.010175901491189326,31.03975846569676,1.5684005021643493e-211,1.371434845781799,ZAF
agegrp_65+,0.349645202581821,0.013323157532018631,26.2434187797857,8.49745044174747e-152,1.4185641563972011,ZAF
educ_1,0.0669237014650128,0.018545009616829908,3.6087175389911046,0.00030771442326289105,1.0692138956085018,ZAF
educ_3,0.020577240821314857,0.009891015349710704,2.080397218463189,0.037489114185252824,1.020790411887985,ZAF
educ_4,-0.05981630971037485,0.013759749169772975,-4.347194776033971,1.378897609160239e-05,0.9419375424737215,ZAF
educ_missing,-0.11787025581802178,0.027900240076098256,-4.224703998837615,2.3925503946246575e-05,0.8888113632372706,ZAF
urb_0,0.09554597776439512,0.006472930261752392,14.760853879264307,2.6194327762510854e-49,1.100259408338854,ZAF
labour_employed occ 1,-0.016785590052881886,0.022261561479019712,-0.7540167417591697,0.45083916895179044,0.9833545030203135,ZAF
labour_employed occ 2,-0.004519424104631586,0.022810686510533317,-0.19812749180278488,0.8429453158214248,0.9954907731248351,ZAF
labour_employed occ 3,-0.029269913796157284,0.02260947985113806,-1.2945858988739172,0.19546311939219263,0.9711543011433714,ZAF
labour_employed occ 4,0.05136619852594198,0.021080942784203426,2.436617709736976,0.014825343442431936,1.0527083229431187,ZAF
labour_employed occ 6,-0.15062905853295558,0.06427044678589841,-2.343675298146599,0.019094786774762725,0.8601667109897739,ZAF
labour_employed occ 7,-0.08489540786037629,0.018604081542530126,-4.563267886474263,5.036348530141238e-06,0.9186083585907685,ZAF
labour_employed occ 8,-0.01885680995980748,0.021858057522741284,-0.862693765911665,0.3883058608820693,0.9813198674143522,ZAF
labour_employed occ 9,-0.04601289138184102,0.014448059890244395,-3.184710731501729,0.001448987689833261,0.9550296504594636,ZAF
labour_employed occ na,-0.026903483536928518,0.04031534050398572,-0.6673262138085809,0.5045637857131844,0.9734551914424435,ZAF
labour_inactive,0.0248128680369793,0.012318985035973324,2.0141974330289325,0.04398880909978405,1.0251232692445236,ZAF
labour_unemployed,-0.022862221826235932,0.01293935684595142,-1.7668746676067801,0.07724922036074218,0.977397138489607,ZAF
quarter_Q2,0.027517679859303965,0.008883317934218805,3.0976804008449417,0.0019504164545387794,1.027899788070236,ZAF
quarter_Q3,0.09150295364646642,0.008907096594265139,10.273039331961536,9.32205983982335e-25,1.0958200133526717,ZAF
quarter_Q4,-0.8217719098505664,0.0083421217014383,-98.50874145229518,0.0,0.4396519403145105,ZAF
year_2023,0.8053724274512861,0.00871249352332702,92.43879783611482,0.0,2.2375296611329714,ZAF
year_2024,0.827238071807162,0.008736616968235562,94.68631563164777,0.0,2.2869934975342705,ZAF
year_2025,-0.22565099601587962,0.0077887439710694895,-28.97142297320822,1.507862979359556e-184,0.7979965570495533,ZAF
year_2026,-4.848347226092279,0.03451135728671165,-140.4855562710395,0.0,0.007841326785511108,ZAF
male,-0.051439031780131345,0.006162699560769567,-8.346834252245763,7.011700970977481e-17,0.9498615595652673,ZAF
