countrycode,period,variable,category,share,d_prev,d_next,flag
COL,2022Q1,educat7,1,9.695805201405639,,0.07629118485769837,
COL,2022Q2,educat7,1,9.772096386263337,0.07629118485769837,0.5095075503482374,
COL,2022Q3,educat7,1,10.281603936611575,0.5095075503482374,-0.2178224603276142,
COL,2022Q4,educat7,1,10.06378147628396,-0.2178224603276142,-0.4804827272666241,
COL,2023Q1,educat7,1,9.583298749017336,-0.4804827272666241,0.054851386848300265,
COL,2023Q2,educat7,1,9.638150135865637,0.054851386848300265,0.19379698079372787,
COL,2023Q3,educat7,1,9.831947116659364,0.19379698079372787,0.0028679477836117684,
COL,2023Q4,educat7,1,9.834815064442976,0.0028679477836117684,-0.44335157128505287,
COL,2024Q1,educat7,1,9.391463493157923,-0.44335157128505287,0.06432246424105159,
COL,2024Q2,educat7,1,9.455785957398975,0.06432246424105159,0.2386076202731875,
COL,2024Q3,educat7,1,9.694393577672162,0.2386076202731875,-0.278985655719703,
COL,2024Q4,educat7,1,9.41540792195246,-0.278985655719703,-0.24597039326710046,
COL,2025Q1,educat7,1,9.169437528685359,-0.24597039326710046,-0.041313215147519955,
COL,2025Q2,educat7,1,9.128124313537839,-0.041313215147519955,0.4662994858044254,
COL,2025Q3,educat7,1,9.594423799342264,0.4662994858044254,-0.543709686232356,
COL,2025Q4,educat7,1,9.050714113109908,-0.543709686232356,-0.45735751619303144,
COL,2026Q1,educat7,1,8.593356596916877,-0.45735751619303144,0.40406163086168334,
COL,2026Q2,educat7,1,8.99741822777856,0.40406163086168334,,
COL,2022Q1,educat7,2,14.813469596553798,,-0.1560314418187545,
COL,2022Q2,educat7,2,14.657438154735043,-0.1560314418187545,0.410815265492948,
COL,2022Q3,educat7,2,15.068253420227991,0.410815265492948,-0.04905189301078394,
COL,2022Q4,educat7,2,15.019201527217207,-0.04905189301078394,-0.32329977174649827,
COL,2023Q1,educat7,2,14.69590175547071,-0.32329977174649827,0.1389491892178274,
COL,2023Q2,educat7,2,14.834850944688537,0.1389491892178274,-0.014919644901846496,
COL,2023Q3,educat7,2,14.81993129978669,-0.014919644901846496,-0.25816378679427565,
COL,2023Q4,educat7,2,14.561767512992414,-0.25816378679427565,-0.21628751341546426,
COL,2024Q1,educat7,2,14.34547999957695,-0.21628751341546426,0.24924936085605331,
COL,2024Q2,educat7,2,14.594729360433004,0.24924936085605331,0.05000726526859367,
COL,2024Q3,educat7,2,14.644736625701597,0.05000726526859367,-0.09775911364256196,
COL,2024Q4,educat7,2,14.546977512059035,-0.09775911364256196,-0.25411415724623687,
COL,2025Q1,educat7,2,14.292863354812798,-0.25411415724623687,0.32045541189263815,
COL,2025Q2,educat7,2,14.613318766705437,0.32045541189263815,-0.20644296133695583,
COL,2025Q3,educat7,2,14.40687580536848,-0.20644296133695583,0.13464277960731508,
COL,2025Q4,educat7,2,14.541518584975796,0.13464277960731508,-0.161008684520354,
