period,previous,variable,change,detail,share,country
2025Q3,2025Q2,q415typebusns,missing_share_jump,0.75 -> 1.00,,zaf
2025Q3,2025Q2,q415typebusns,codes_removed,"1,2,3,4,5,6",1.0,zaf
2025Q3,2025Q2,q416nrworkers,codes_removed,"8,99",0.0713,zaf
2025Q4,2025Q3,q14age,labels_changed,105: '-' -> '105',,zaf
2025Q4,2025Q3,q17education,labels_changed,99: '-' -> 'Unspecified',,zaf
2025Q4,2025Q3,q419totalhrs,labels_changed,116: '-' -> '116'; 119: '119' -> '-'; 133: '133' -> '-'; 140: '-' -> '140'; 86: '86' -> '-'; 87: '-' -> '87',,zaf
2025Q4,2025Q3,q44monthstart,labels_changed,9: 'Sepember' -> 'September',,zaf
2025Q4,2025Q3,q44yearstart,labels_changed,1948: '1948' -> '-'; 1966: '-' -> '1966'; 1967: '1967' -> '-'; 1970: '-' -> '1970'; 1971: '-' -> '1971'; 1972: '1972' -> '-',,zaf
2026Q1,2025Q4,q14age,labels_changed,102: '102' -> '-'; 106: '-' -> '106'; 110: '-' -> '110',,zaf
2026Q1,2025Q4,q17education,labels_changed,99: 'Unspecified' -> '-',,zaf
2026Q1,2025Q4,q411contracttype,labels_changed,1: 'Yes' -> 'A written contract'; 2: 'No' -> 'A verbal agreement',,zaf
2026Q1,2025Q4,q419totalhrs,labels_changed,100: '100' -> '-'; 102: '-' -> '102'; 108: '108' -> '-'; 112: '112' -> '-'; 116: '116' -> '-'; 126: '-' -> '126',,zaf
2026Q1,2025Q4,q44yearstart,labels_changed,1966: '1966' -> '-'; 1970: '1970' -> '-'; 1971: '1971' -> '-'; 1974: '1974' -> '-'; 2026: '-' -> '2026',,zaf
2026Q2,2026Q1,geo_type_code,labels_changed,1: 'Urban' -> '1. Urban'; 2: 'Traditional' -> '2. Traditional'; 3: 'Farms' -> '3. Farms',,zaf
2026Q2,2026Q1,inactreason,labels_changed,1: 'Scholar/student' -> '1. Scholar/student'; 2: 'Home-maker' -> '2. Home-maker'; 3: 'Health reasons' -> '3. Health reasons'; 4: 'Too young/old/retired' -> '4. Too young/old/retired'; 5: 'Discouraged work-seekers' -> '5. Discouraged work-seekers'; 6: 'Other' -> '6. Other',,zaf
